,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,Frequenza,Risoluzione,Pixel,GpuCompany,MemoriaSSD,SolidStateDisk,TotalMemory,dedicated_GPU
13,Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,16,256GB SSD,AMD Radeon Pro 555,macOS,1.83,2439.97,2.8,2880x1800,5184000,AMD,256,True,256,True
14,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256GB SSD,AMD Radeon R5 M430,Windows 10,2.2,498.9,2.0,1920x1080,2073600,AMD,256,True,256,True
15,Apple,"MacBook 12""",Ultrabook,12.0,IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz,8,256GB SSD,Intel HD Graphics 615,macOS,0.92,1262.4,1.2,2304x1440,3317760,Intel,256,True,256,False
16,Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8,256GB SSD,Intel Iris Plus Graphics 640,macOS,1.37,1518.55,2.3,2560x1600,4096000,Intel,256,True,256,False
17,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,AMD Radeon R5 M430,Windows 10,2.2,745.0,2.7,1920x1080,2073600,AMD,256,True,256,True
18,Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,16,512GB SSD,AMD Radeon Pro 560,macOS,1.83,2858.0,2.9,2880x1800,5184000,AMD,512,True,512,True
19,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8,1024GB HDD,Nvidia GeForce 940MX,No OS,2.2,499.0,2.4,1920x1080,2073600,Nvidia,0,False,1024,True
20,Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB SSD,Intel UHD Graphics 620,Windows 10,1.22,979.0,1.6,1920x1080,2073600,Intel,128,True,128,False
21,Asus,Vivobook E200HA,Netbook,11.6,1366x768,Intel Atom x5-Z8350 1.44GHz,2,32GB Flash Storage,Intel HD Graphics 400,Windows 10,0.98,191.9,1.44,1366x768,1049088,Intel,0,False,32,False
22,Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1024GB HDD,Nvidia GeForce GTX 1050,Windows 10,2.5,999.0,2.5,1920x1080,2073600,Nvidia,128,True,1152,True
23,HP,255 G6,Notebook,15.6,1366x768,AMD E-Series E2-9000e 1.5GHz,4,500GB HDD,AMD Radeon R2,No OS,1.86,258.0,1.5,1366x768,1049088,AMD,0,False,500,True
24,Dell,Inspiron 5379,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.62,819.0,1.6,1920x1080,2073600,Intel,256,True,256,False
25,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.91,659.0,1.8,1920x1080,2073600,Intel,256,True,256,False
26,Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,1024GB HDD,Intel HD Graphics 520,Windows 10,2.3,418.64,2.0,1366x768,1049088,Intel,0,False,1024,False
27,Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8,128GB Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35,1099.0,1.6,1440x900,1296000,Intel,0,False,128,False
28,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,AMD Radeon 530,Windows 10,2.2,800.0,1.6,1920x1080,2073600,AMD,256,True,256,True
29,Dell,Latitude 5590,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,8,256GB SSD +  256GB SSD,Intel UHD Graphics 620,Windows 10,1.88,1298.0,1.9,1920x1080,2073600,Intel,256,True,512,False
30,HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1024GB HDD,Nvidia GeForce 930MX,Windows 10,2.5,896.0,1.6,1920x1080,2073600,Nvidia,0,False,1024,True
31,Chuwi,"LapBook 15.6""",Notebook,15.6,Full HD 1920x1080,Intel Atom x5-Z8300 1.44GHz,4,64GB Flash Storage,Intel HD Graphics,Windows 10,1.89,244.99,1.44,1920x1080,2073600,Intel,0,False,64,False
32,Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,1366x768,AMD E-Series E2-6110 1.5GHz,2,32GB Flash Storage,AMD Radeon R2,Windows 10,1.65,199.0,1.5,1366x768,1049088,AMD,0,False,32,True
33,HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,500GB HDD,AMD Radeon 530,Windows 10,2.71,439.0,2.5,1920x1080,2073600,AMD,0,False,500,True
34,Dell,XPS 13,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Intel UHD Graphics 620,Windows 10,1.2,1869.0,1.8,3200x1800,5760000,Intel,512,True,512,False
35,Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8,256GB Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35,998.0,1.6,1440x900,1296000,Intel,0,False,256,False
36,Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,64GB Flash Storage,Intel HD Graphics 500,Windows 10,1.44,249.0,1.1,1366x768,1049088,Intel,0,False,64,False
37,Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 7130U 2.7GHz,4,1024GB HDD,Intel HD Graphics 620,Linux,2.1,367.0,2.7,1366x768,1049088,Intel,0,False,1024,False
38,Dell,Inspiron 5770,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1024GB HDD,AMD Radeon 530,Windows 10,2.8,979.0,1.6,1920x1080,2073600,AMD,128,True,1152,True
39,HP,250 G6,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,1024GB HDD,Intel HD Graphics 620,Windows 10,1.86,488.69,2.5,1366x768,1049088,Intel,0,False,1024,False
40,HP,ProBook 450,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Nvidia GeForce 930MX ,Windows 10,2.1,879.0,1.6,1920x1080,2073600,Nvidia,256,True,256,True
41,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1024GB HDD,Intel HD Graphics 620,Linux,2.0,389.0,2.0,1920x1080,2073600,Intel,0,False,1024,False
42,Dell,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1024GB HDD,Nvidia GeForce GTX 1060,Windows 10,2.65,1499.0,2.8,1920x1080,2073600,Nvidia,256,True,1280,True
43,Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,1024GB HDD,Nvidia GeForce 940MX,Linux,2.3,522.99,2.5,1366x768,1049088,Nvidia,0,False,1024,True
44,Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,256GB SSD,Intel UHD Graphics 620,Windows 10,2.2,682.0,1.6,1920x1080,2073600,Intel,256,True,256,False
45,Dell,Inspiron 7773,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,12,1024GB HDD,Nvidia GeForce 150MX,Windows 10,2.77,999.0,1.6,1920x1080,2073600,Nvidia,0,False,1024,True
46,Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.0GHz,8,256GB SSD,Intel Iris Graphics 540,macOS,1.37,1419.0,2.0,2560x1600,4096000,Intel,256,True,256,False
47,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,128GB SSD,Intel HD Graphics 520,No OS,2.2,369.0,2.0,1366x768,1049088,Intel,128,True,128,False
48,Asus,Rog Strix,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,8,256GB SSD +  1024GB HDD,AMD Radeon RX 580,Windows 10,3.2,1299.0,3.0,1920x1080,2073600,AMD,256,True,1280,True
49,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,256GB SSD,AMD Radeon R5 M430,Windows 10,2.3,639.0,2.5,1920x1080,2073600,AMD,256,True,256,True
50,Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4,1024GB HDD,Nvidia GeForce 920MX,Windows 10,2.8,466.0,1.1,1366x768,1049088,Nvidia,0,False,1024,True
51,Lenovo,Yoga Book,2 in 1 Convertible,10.1,IPS Panel Touchscreen 1920x1200,Intel Atom x5-Z8550 1.44GHz,4,64GB Flash Storage,Intel HD Graphics 400,Android,0.69,319.0,1.44,1920x1200,2304000,Intel,0,False,64,False
52,Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce MX150,Windows 10,2.2,841.0,1.8,1920x1080,2073600,Nvidia,256,True,256,True
53,HP,255 G6,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,256GB SSD,AMD Radeon R4 Graphics,Windows 10,1.86,398.49,2.5,1920x1080,2073600,AMD,256,True,256,True
54,HP,ProBook 430,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,512GB SSD,Intel UHD Graphics 620,Windows 10,1.49,1103.0,1.8,1920x1080,2073600,Intel,512,True,512,False
55,Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4,1024GB HDD,Intel HD Graphics 620,Windows 10,2.4,384.0,2.4,1366x768,1049088,Intel,0,False,1024,False
56,Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 520,Windows 10,2.13,767.8,1.8,1920x1080,2073600,AMD,256,True,256,True
57,HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,128GB SSD,Intel HD Graphics 520,Windows 10,1.91,439.0,2.0,1920x1080,2073600,Intel,128,True,128,False
58,Asus,VivoBook Max,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,256GB SSD,Intel HD Graphics 620,Windows 10,2.0,586.19,2.5,1366x768,1049088,Intel,256,True,256,False
59,MSI,GS73VR 7RG,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  2048GB HDD,Nvidia GeForce GTX 1070,Windows 10,2.43,2449.0,2.8,1920x1080,2073600,Nvidia,256,True,2304,True
60,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256GB SSD,Intel HD Graphics 520,Linux,2.0,415.0,2.0,1920x1080,2073600,Intel,256,True,256,False
61,Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256GB SSD +  2048GB HDD,AMD Radeon 530,Windows 10,2.8,1299.0,1.8,1920x1080,2073600,AMD,256,True,2304,True
62,Dell,Vostro 5471,Ultrabook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.7,879.0,1.6,1920x1080,2073600,Intel,256,True,256,False
63,Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,No OS,1.7,599.0,2.7,1920x1080,2073600,Intel,256,True,256,False
64,Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.4,941.0,1.6,1920x1080,2073600,Intel,256,True,256,False
66,HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.86,690.0,2.5,1920x1080,2073600,Intel,256,True,256,False
67,Asus,ZenBook Pro,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,1.8,1983.0,2.8,1920x1080,2073600,Nvidia,512,True,512,True
68,HP,250 G6,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,500GB HDD,AMD Radeon 520,Windows 10,1.86,438.69,2.0,1366x768,1049088,AMD,0,False,500,True
69,HP,Stream 14-AX040wm,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,32GB SSD,Intel HD Graphics 400,Windows 10,1.44,229.0,1.6,1366x768,1049088,Intel,32,True,32,False
70,Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,1024GB HDD,Intel HD Graphics 620,Windows 10,1.9,549.0,2.5,1920x1080,2073600,Intel,0,False,1024,False
71,Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12,1024GB HDD,Nvidia GeForce GTX 1050 Ti,Linux,3.0,949.0,2.8,1920x1080,2073600,Nvidia,0,False,1024,True
72,Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,4,128GB SSD,Intel HD Graphics 620,Windows 10 S,1.252,1089.0,2.5,2256x1504,3393024,Intel,128,True,128,False
73,Dell,Inspiron 5370,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 530,Windows 10,1.4,955.0,1.8,1920x1080,2073600,AMD,256,True,256,True
74,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 530,Windows 10,2.2,870.0,1.8,1920x1080,2073600,AMD,256,True,256,True
75,MSI,GL72M 7RDX,Gaming,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1024GB HDD,Nvidia GeForce GTX 1050,Windows 10,2.7,1095.0,2.5,1920x1080,2073600,Nvidia,128,True,1152,True
76,Acer,Aspire E5-475,Notebook,14.0,1366x768,Intel Core i3 6006U 2GHz,8,1024GB HDD,Intel HD Graphics 520,Windows 10,2.1,389.0,2.0,1366x768,1049088,Intel,0,False,1024,False
77,Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1024GB HDD,Nvidia GeForce GTX 1050,Windows 10,2.2,949.0,2.8,1920x1080,2073600,Nvidia,0,False,1024,True
78,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,2048GB HDD,Intel HD Graphics 620,No OS,2.2,519.0,2.5,1920x1080,2073600,Intel,0,False,2048,False
79,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128GB SSD +  1024GB HDD,Intel UHD Graphics 620,Windows 10,2.02,855.0,1.8,1920x1080,2073600,Intel,128,True,1152,False
80,Acer,Aspire A515-51G-32MX,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4,1024GB HDD,Nvidia GeForce MX130,Windows 10,2.2,530.0,2.7,1920x1080,2073600,Nvidia,0,False,1024,True
81,HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1024GB HDD,Nvidia GeForce 930MX,Windows 10,2.5,977.0,1.6,1920x1080,2073600,Nvidia,128,True,1152,True
82,Dell,Latitude 5590,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.88,1096.16,1.6,1920x1080,2073600,Intel,256,True,256,False
83,Apple,"MacBook 12""",Ultrabook,12.0,IPS Panel Retina Display 2304x1440,Intel Core i5 1.3GHz,8,512GB SSD,Intel HD Graphics 615,macOS,0.92,1510.0,1.3,2304x1440,3317760,Intel,512,True,512,False
84,HP,ProBook 440,Notebook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.63,860.0,1.6,1920x1080,2073600,Intel,256,True,256,False
85,Lenovo,IdeaPad 320-15AST,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,128GB SSD,AMD R4 Graphics,Windows 10,2.2,399.0,2.5,1920x1080,2073600,AMD,128,True,128,True
86,Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,1024GB HDD,AMD Radeon R5,Windows 10,2.1,395.0,3.0,1366x768,1049088,AMD,0,False,1024,True
87,Dell,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,128GB SSD +  1024GB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.65,1349.0,2.8,1920x1080,2073600,Nvidia,128,True,1152,True
88,HP,Pavilion 15-CK000nv,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce GTX 940MX,Windows 10,1.83,699.0,1.8,1920x1080,2073600,Nvidia,256,True,256,True
89,HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.96,598.99,2.5,1920x1080,2073600,Intel,256,True,256,False
90,Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,128GB SSD +  1024GB HDD,Nvidia GeForce GTX 1060,Windows 10,2.2,1449.0,2.8,1920x1080,2073600,Nvidia,128,True,1152,True
91,Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.21,1649.0,1.8,1920x1080,2073600,Intel,256,True,256,False
92,Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,Full HD 1920x1080,AMD FX 9830P 3GHz,8,1024GB HDD,AMD Radeon RX 560,Windows 10,2.45,699.0,3.0,1920x1080,2073600,AMD,0,False,1024,True
93,Acer,Aspire 5,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,1024GB HDD,Nvidia GeForce MX150,Windows 10,2.2,689.0,1.8,1920x1080,2073600,Nvidia,0,False,1024,True
94,HP,Probook 430,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Intel UHD Graphics 620,Windows 10,1.49,1197.0,1.8,1920x1080,2073600,Intel,512,True,512,False
95,Dell,Inspiron 7577,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Nvidia GeForce GTX 1060,Windows 10,2.65,1195.0,2.5,1920x1080,2073600,Nvidia,256,True,256,True
96,Asus,Zenbook UX430UA,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.25,1049.0,2.7,1920x1080,2073600,Intel,256,True,256,False
97,Acer,Spin 5,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.5,847.0,1.6,1920x1080,2073600,Intel,256,True,256,False
98,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,1024GB HDD,AMD Radeon R5 M430,Linux,2.2,599.9,2.7,1920x1080,2073600,AMD,0,False,1024,True
99,Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256GB SSD,AMD Radeon R5 M430,Linux,2.2,485.0,2.0,1920x1080,2073600,AMD,256,True,256,True
100,Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,6,256GB SSD,Nvidia GeForce 920M,Windows 10,2.0,577.0,2.4,1920x1080,2073600,Nvidia,256,True,256,True
102,HP,Omen 15-ce007nv,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12,128GB SSD +  1024GB HDD,Nvidia GeForce GTX 1050,Windows 10,2.62,1249.0,2.8,1920x1080,2073600,Nvidia,128,True,1152,True
103,HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,AMD Radeon 530,Windows 10,1.91,719.0,2.7,1920x1080,2073600,AMD,256,True,256,True
104,HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,Full HD 1920x1080,AMD E-Series E2-9000e 1.5GHz,4,500GB HDD,AMD Radeon R2,Windows 10,2.1,349.0,1.5,1920x1080,2073600,AMD,0,False,500,True
105,Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1024GB HDD,AMD Radeon 520,Linux,2.2,647.0,1.6,1920x1080,2073600,AMD,0,False,1024,True
106,HP,Envy 13-ad009n,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Nvidia GeForce MX150,Windows 10,1.38,1119.0,2.7,1920x1080,2073600,Nvidia,256,True,256,True
107,Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10 S,1.252,1340.0,2.5,2256x1504,3393024,Intel,256,True,256,False
108,HP,Pavilion 14-BK001nv,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.58,659.0,2.5,1920x1080,2073600,Nvidia,256,True,256,True
109,Lenovo,Ideapad 310-15ISK,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1024GB HDD,Intel HD Graphics 520,Windows 10,1.85,414.9,2.0,1920x1080,2073600,Intel,0,False,1024,False
110,Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.3,1193.0,2.7,1920x1080,2073600,Nvidia,256,True,256,True
111,MSI,GP62M 7REX,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1024GB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.2,1299.0,2.8,1920x1080,2073600,Nvidia,256,True,1280,True
112,Lenovo,Thinkpad T470,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.58,1480.0,2.7,1920x1080,2073600,Intel,256,True,256,False
113,Asus,VivoBook S15,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256GB SSD +  1024GB HDD,Nvidia GeForce MX150,Windows 10,1.5,1262.0,1.8,1920x1080,2073600,Nvidia,256,True,1280,True
114,Dell,XPS 13,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7560U 2.4GHz,8,256GB SSD,Intel Iris Plus Graphics 640,Windows 10,1.23,1379.0,2.4,3200x1800,5760000,Intel,256,True,256,False
